"2021-01-02 19:48:26,447",310,186252,19.3,51,0.015564
"2021-01-02 19:48:58,945",311,187857,141.2,339,0.015318
"2021-01-02 19:49:28,729",312,189354,132.6,308,0.015092
"2021-01-02 19:49:38,800",313,189860,45.2,95,0.015016
"2021-01-02 19:49:56,134",314,190716,74.6,169,0.014889
"2021-01-02 19:50:14,321",315,191615,77.8,178,0.014756
"2021-01-02 19:50:51,647",316,193486,166.1,398,0.014484
"2021-01-02 19:51:27,878",317,195267,155.7,385,0.014230
"2021-01-02 19:51:34,726",318,195605,28.3,63,0.014182
"2021-01-02 19:51:44,110",319,196064,38.3,88,0.014118
"2021-01-02 19:52:04,832",320,197073,85.9,205,0.013977
"2021-01-02 19:52:24,251",321,198042,86.6,191,0.013843
"2021-01-02 19:52:34,536",322,198551,44.5,97,0.013773
"2021-01-02 19:53:19,053",323,200782,198.5,489,0.013471
"2021-01-02 19:54:02,215",324,202950,194.7,472,0.013184
"2021-01-02 19:54:19,117",325,203475,46.0,165,0.013116
"2021-01-02 19:55:07,767",326,204939,131.3,544,0.012926
"2021-01-02 19:55:42,612",327,206682,155.3,368,0.012705
"2021-01-02 19:56:24,863",328,208803,188.9,460,0.012440
"2021-01-02 19:56:47,044",329,209899,96.7,221,0.012305
"2021-01-02 19:57:09,112",330,211021,101.7,220,0.012169
"2021-01-02 19:57:36,176",331,212381,122.4,276,0.012006
"2021-01-02 19:58:06,697",332,213900,135.1,316,0.011826
"2021-01-02 19:58:40,578",333,215597,150.1,356,0.011629
"2021-01-02 19:59:01,867",334,216652,93.4,212,0.011508
"2021-01-02 19:59:27,423",335,217915,111.1,259,0.011364
"2021-01-02 20:00:07,140",336,219899,175.0,428,0.011143
"2021-01-02 20:00:41,240",337,221613,154.3,359,0.010955
"2021-01-02 20:00:51,692",338,222137,45.4,99,0.010898
"2021-01-02 20:01:14,254",339,223282,103.0,226,0.010775
"2021-01-02 20:01:23,538",340,223736,39.5,87,0.010727
"2021-01-02 20:01:57,339",341,225412,149.5,355,0.010550
"2021-01-02 20:02:06,301",342,225855,38.8,83,0.010504
"2021-01-02 20:06:40,006",343,240902,1456.6,62,0.009050
"2021-01-02 20:06:45,579",344,241167,21.4,51,0.009027
"2021-01-02 20:06:51,024",345,241441,23.6,50,0.009002
"2021-01-02 20:07:24,910",346,243159,156.1,356,0.008850
"2021-01-02 20:07:42,559",347,244031,79.8,173,0.008774
"2021-01-02 20:08:22,739",348,246057,185.1,434,0.008600
"2021-01-02 20:08:53,801",349,247621,142.5,323,0.008468
"2021-01-02 20:09:02,281",350,248044,37.7,79,0.008433
"2021-01-02 20:09:22,442",351,249076,94.9,199,0.008347
"2021-01-02 20:09:47,860",352,250378,118.2,257,0.008240
"2021-01-02 20:09:52,389",353,250610,21.5,41,0.008222
"2021-01-02 20:10:11,049",354,251561,87.6,183,0.008145
"2021-01-02 20:10:27,066",355,252366,72.5,155,0.008080
"2021-01-02 20:10:49,094",356,253520,107.9,220,0.007988
"2021-01-02 20:11:13,804",357,254777,115.3,249,0.007890
"2021-01-02 20:11:32,209",358,255716,86.4,180,0.007817
"2021-01-02 20:11:39,085",359,256064,31.3,64,0.007790
"2021-01-02 20:12:26,480",360,258504,226.7,527,0.007605
"2021-01-02 20:13:07,358",361,260605,197.1,443,0.007448
"2021-01-02 20:13:40,427",362,262288,156.1,346,0.007326
"2021-01-02 20:14:31,820",363,264938,246.9,581,0.007137
"2021-01-02 20:14:37,231",364,265222,25.9,50,0.007117
"2021-01-02 20:14:44,267",365,265585,33.2,65,0.007091
"2021-01-02 20:15:27,849",366,267832,211.0,477,0.006936
"2021-01-02 20:16:18,701",367,270474,247.3,574,0.006757
"2021-01-02 20:16:34,279",368,271272,73.6,151,0.006704
"2021-01-02 20:17:22,067",369,273745,231.5,533,0.006543
"2021-01-02 20:17:26,639",370,273981,21.4,42,0.006528
"2021-01-02 20:18:12,453",371,276334,217.7,506,0.006378
"2021-01-02 20:18:55,620",372,278546,205.6,472,0.006241
"2021-01-02 20:19:02,253",373,278889,31.6,61,0.006220
"2021-01-02 20:19:40,633",374,280888,187.4,411,0.006099
"2021-01-02 20:20:15,097",375,282661,165.3,363,0.005993
"2021-01-02 20:20:22,335",376,283036,34.3,67,0.005971
"2021-01-02 20:20:56,094",377,284778,160.9,355,0.005870
"2021-01-02 20:21:30,108",378,286514,160.8,358,0.005770
"2021-01-02 20:21:36,389",379,286836,29.0,58,0.005752
"2021-01-02 20:22:24,995",380,289324,230.1,543,0.005613
"2021-01-02 20:23:19,524",381,292126,259.8,624,0.005461
"2021-01-02 20:23:43,673",382,293327,107.6,243,0.005397
"2021-01-02 20:24:02,190",383,294262,85.0,182,0.005347
"2021-01-02 20:24:22,201",384,295289,93.3,198,0.005294
"2021-01-02 20:24:32,959",385,295837,49.6,102,0.005265
"2021-01-02 20:25:02,025",386,297307,134.5,299,0.005190
"2021-01-02 20:25:47,243",387,299622,212.0,499,0.005073
"2021-01-02 20:26:05,654",388,300550,84.4,181,0.005027
"2021-01-02 20:26:50,352",389,302843,212.9,492,0.004915
"2021-01-02 20:27:24,874",390,304598,161.4,364,0.004832
"2021-01-02 20:28:14,370",391,307121,231.5,555,0.004714
"2021-01-02 20:29:04,242",392,309651,232.6,560,0.004598
"2021-01-02 20:29:16,832",393,310295,57.9,120,0.004569
"2021-01-02 20:29:27,897",394,310861,51.0,105,0.004544
"2021-01-02 20:29:56,453",395,312321,135.8,293,0.004480
"2021-01-02 20:30:01,917",396,312596,24.4,50,0.004468
"2021-01-02 20:30:55,531",397,315367,258.6,611,0.004348
"2021-01-02 20:31:30,098",398,317152,167.4,364,0.004273
"2021-01-02 20:31:54,210",399,318417,118.6,243,0.004221
"2021-01-02 20:32:50,785",400,321323,269.6,653,0.004102
"2021-01-02 20:33:13,955",401,322534,110.9,225,0.004054
"2021-01-02 20:33:49,413",402,324102,142.5,351,0.003993
"2021-01-02 20:34:02,313",403,324477,33.7,123,0.003978
"2021-01-02 20:34:16,063",404,324882,35.7,132,0.003962
"2021-01-02 20:34:51,140",405,326695,169.2,370,0.003893
"2021-01-02 20:35:25,720",406,328463,163.9,365,0.003826
"2021-01-02 20:35:47,323",407,329601,107.5,215,0.003784
"2021-01-02 20:36:11,392",408,330840,116.2,242,0.003739
"2021-01-02 20:36:15,969",409,331078,22.0,42,0.003730
"2021-01-02 20:36:51,165",410,332900,170.9,372,0.003665
"2021-01-02 20:37:40,990",411,335430,233.0,560,0.003575
"2021-01-02 20:38:10,932",412,336974,143.4,309,0.003522
"2021-01-02 20:38:48,974",413,338911,179.5,407,0.003457
"2021-01-02 20:39:08,258",414,339920,95.6,190,0.003423
"2021-01-02 20:39:13,701",415,340204,25.8,50,0.003413
"2021-01-02 20:39:32,989",416,341209,94.3,190,0.003380
"2021-01-02 20:40:31,766",417,344247,285.9,684,0.003282
"2021-01-02 20:41:12,737",418,346361,199.1,444,0.003215
"2021-01-02 20:41:30,564",419,347248,81.5,174,0.003188
"2021-01-02 20:42:09,526",420,349264,190.9,418,0.003126
"2021-01-02 20:42:16,750",421,349642,35.6,67,0.003115
"2021-01-02 20:43:20,239",422,352935,309.4,752,0.003017
"2021-01-02 20:44:10,637",423,355548,245.6,567,0.002942
"2021-01-02 20:45:04,415",424,358343,263.2,614,0.002863
"2021-01-02 20:45:49,874",425,360712,223.0,502,0.002799
"2021-01-02 20:46:07,316",426,361617,85.9,170,0.002774
"2021-01-02 20:46:50,216",427,363849,210.7,468,0.002715
"2021-01-02 20:47:55,409",428,367245,321.3,778,0.002628
"2021-01-02 20:48:50,852",429,370135,275.2,637,0.002556
"2021-01-02 20:49:51,054",430,373279,297.6,704,0.002480
"2021-01-02 20:51:04,316",431,377094,360.9,900,0.002391
"2021-01-02 20:51:22,627",432,378039,87.9,179,0.002369
"2021-01-02 20:52:05,526",433,380284,212.7,469,0.002319
"2021-01-02 20:53:02,443",434,383289,287.0,658,0.002253
"2021-01-02 20:53:54,479",435,386013,258.3,590,0.002195
"2021-01-02 20:54:32,781",436,388009,188.6,410,0.002154
